,Date,Open,High,Low,Close,Adj Close,Volume,Amplitude
83,2020-05-05,78887.0,81066.0,78886.0,79471.0,79471.0,9154700.0,2180.0
84,2020-05-06,79473.0,79996.0,78056.0,79064.0,79064.0,9775900.0,1940.0
85,2020-05-07,79072.0,80061.0,78061.0,78119.0,78119.0,13808900.0,2000.0
86,2020-05-08,78152.0,80557.0,78152.0,80263.0,80263.0,10734400.0,2405.0
87,2020-05-11,80263.0,80723.0,78994.0,79065.0,79065.0,9781900.0,1729.0
88,2020-05-12,79065.0,80344.0,77872.0,77872.0,77872.0,10245400.0,2472.0
89,2020-05-13,77877.0,78911.0,77152.0,77772.0,77772.0,11575900.0,1759.0
90,2020-05-14,77770.0,79011.0,75697.0,79011.0,79011.0,13818900.0,3314.0
91,2020-05-15,79011.0,79538.0,77426.0,77557.0,77557.0,11718200.0,2112.0
92,2020-05-18,77576.0,81420.0,77571.0,81194.0,81194.0,11533100.0,3849.0
93,2020-05-19,81197.0,82175.0,80647.0,80742.0,80742.0,10740100.0,1528.0
94,2020-05-20,80747.0,82290.0,80740.0,81319.0,81319.0,9522800.0,1550.0
95,2020-05-21,81320.0,83309.0,81317.0,83027.0,83027.0,11395200.0,1992.0
96,2020-05-22,83027.0,83027.0,81669.0,82173.0,82173.0,9281200.0,1358.0
97,2020-05-25,82198.0,85876.0,82193.0,85663.0,85663.0,8764400.0,3683.0
98,2020-05-26,85668.0,87333.0,85396.0,85469.0,85469.0,12030800.0,1937.0
99,2020-05-27,85468.0,87946.0,85468.0,87946.0,87946.0,11212000.0,2478.0
100,2020-05-28,87946.0,88091.0,86767.0,86949.0,86949.0,10117000.0,1324.0
101,2020-05-29,86951.0,87410.0,85384.0,87403.0,87403.0,16550900.0,2026.0
102,2020-06-01,87395.0,89019.0,86837.0,88620.0,88620.0,9849400.0,2182.0
103,2020-06-02,88622.0,91046.0,88622.0,91046.0,91046.0,11827300.0,2424.0
104,2020-06-03,91048.0,93710.0,91048.0,93002.0,93002.0,15137900.0,2662.0
105,2020-06-04,92993.0,94132.0,92221.0,93829.0,93829.0,11488000.0,1911.0
106,2020-06-05,93839.0,97356.0,93839.0,94637.0,94637.0,13320300.0,3517.0
107,2020-06-08,94640.0,97693.0,94635.0,97645.0,97645.0,11096500.0,3058.0
108,2020-06-09,97644.0,97644.0,95386.0,96747.0,96747.0,11278800.0,2258.0
109,2020-06-10,96747.0,97646.0,94665.0,94686.0,94686.0,11739600.0,2981.0
110,2020-06-12,94677.0,94703.0,90811.0,92795.0,92795.0,12785600.0,3892.0
111,2020-06-15,92780.0,93112.0,90148.0,92376.0,92376.0,13317500.0,2964.0
